S3_ID,Stack,Solution Theme,Solution,L3:DXC_ID,L3:Offering Family,L4:DXC_ID,L4:DXC Major Offering,DXC_ID,DXC Sub Offering,JUMLA_ID,Status:Title,Item Type,Path
13-104-1014,Cloud & Security,Modernized Infrastructure,IT Strategy,104,Cloud and Platform Services,1019,Migration Services,10709,QuickStarts-DXC Migration Services for Google Cloud Platform,104-1019-10709,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1014,Cloud & Security,Modernized Infrastructure,IT Strategy,104,Cloud and Platform Services,1019,Migration Services,10710,QuickStarts-DXC Migration Services for AWS,104-1019-10710,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1064,Multisupplier Integration and ITSM-ESM Services,10244,QuickStarts - DXC Service Integration and Management Advisory,104-1064-10244,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1064,Multisupplier Integration and ITSM-ESM Services,10423,DXC Service Integration and Management,104-1064-10423,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1073,Network Services,10315,DXC Managed Network Services,104-1073-10315,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1073,Network Services,10717,DXC Managed Local Area Network Services ,104-1073-10717,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1073,Network Services,10718,DXC Managed Connectivity Services,104-1073-10718,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1073,Network Services,10719,DXC Managed Wide Area Network Services,104-1073-10719,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1073,Network Services,10720,DXC Managed Software Defined Network Services,104-1073-10720,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1141,Oracle Cloud Services,10636,DXC Managed Services for Oracle Cloud,104-1141-10636,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1075,PaaS for SAP,10104,DXC PaaS for SAP on Premises,104-1075-10104,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1075,PaaS for SAP,10612,DXC Platform as a Service for SAP ,104-1075-10612,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1087,Storage Services,10287,DXC Backup as a Service,104-1087-10287,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1087,Storage Services,10346,DXC Storage as a Service,104-1087-10346,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
14-106-1024,IT Outsourcing,Resilient Operations,Infrastructure Services,104,Cloud and Platform Services,1087,Storage Services,10651,DXC Data Platform,104-1087-10651,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1014,Cloud & Security,Modernized Infrastructure,IT Strategy,104,Cloud and Platform Services,1160,Virtual Clarity Services,10751,Virtual Clarity Services - PLACE HOLDER,104-1160-10751,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1016,Cloud & Security,Modernized Infrastructure,Private Cloud,104,Cloud and Platform Services,1092,Virtual Private Cloud Services,10338,DXC Managed Services for Virtual Private Cloud,104-1092-10338,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1093,VMware Cloud Services,10339,DXC Managed Services for VMWare,104-1093-10339,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1093,VMware Cloud Services,10340,DXC Managed Services for VMware Cloud on AWS,104-1093-10340,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
13-104-1015,Cloud & Security,Modernized Infrastructure,Platform & Integration,104,Cloud and Platform Services,1093,VMware Cloud Services,10706,DXC Multicloud Services powered by VMware ,104-1093-10706,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1123,DXC Digital Business Platforms,10434,DXC Digital Strategy and Transformation Consulting,105-1123-10434,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1123,DXC Digital Business Platforms,10435,DXC Digital Workplace Consulting,105-1123-10435,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1123,DXC Digital Business Platforms,10640,DXC Digital Client Engagement ,105-1123-10640,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1123,DXC Digital Business Platforms,10641,DXC Digital Process Transformation,105-1123-10641,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1124,DXC Digital Industry Consulting,10642,DXC Manufacturing Digital Transformation,105-1124-10642,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1124,DXC Digital Industry Consulting,10646,DXC Energy and Resources Digital Transformation,105-1124-10646,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1124,DXC Digital Industry Consulting,10647,DXC Government Digital Transformation,105-1124-10647,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1124,DXC Digital Industry Consulting,10648,DXC Travel and Transportation Digital Transformation,105-1124-10648,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1124,DXC Digital Industry Consulting,10649,DXC Financial Services Digital Transformation,105-1124-10649,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1124,DXC Digital Industry Consulting,10777,DXC Digital Enterprise Asset Management (EAM) ,105-1124-10777,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1125,DXC Digital Technology Platforms,10609,DXC Application Transformation,105-1125-10609,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1125,DXC Digital Technology Platforms,10610,DXC IT Services Optimization and Automation,105-1125-10610,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1125,DXC Digital Technology Platforms,10643,DXC Mobility Strategic Consulting,105-1125-10643,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1125,DXC Digital Technology Platforms,10644,DXC IT Optimization Consulting,105-1125-10644,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,105,Consulting,1125,DXC Digital Technology Platforms,10645,DXC Hybrid and Cloud Transformation,105-1125-10645,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,106,Cross-Offering Solutions,1010,Automotive Solutions,10438,Automotive Solutions - PLACE HOLDER,106-1010-10438,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,106,Cross-Offering Solutions,1022,Consumer Packaged Goods Solutions,10439,Consumer Packaged Goods Solutions - PLACE HOLDER,106-1022-10439,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,106,Cross-Offering Solutions,1060,Manufacturing Solutions,10440,Manufacturing Solutions - PLACE HOLDER,106-1060-10440,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,106,Cross-Offering Solutions,1082,Retail Solutions,10441,Retail Solutions - PLACE HOLDER,106-1082-10441,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
11-101-1002,Analytics & Engineering,Digitally Engineered Enterprise,Consulting,106,Cross-Offering Solutions,1091,USPS,10442,USPS - PLACE HOLDER,106-1091-10442,New Offering,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
12-103-1005,Applications,Modernized Applications,App Modernization,107,Enterprise and Cloud Apps,1017,Cloud and Mobile Applications,10629,DXC Experience Hub,107-1017-10629,General Availability,Item,sites/offeringsTaxonomyCMDB/Lists/DXC Sub Offering
