fname,type,fdescription,tgname,capability
HPE Records Manager API,Component,HPE Records Manager API,Foundational Core,
MQ Scripts,Component,manage queue manager objects,System Management & Operations,
VMWare,Component,VMWare,Infrastructure,
Citrix,Component,Citrix,Foundational Core,
Virtual Agent,Component,Virtual Agent,Foundational Core,
iOS and Android test Automation,Capability,iOS and Android test Automation,Foundational Core,
Apache NiFi,Component,Automate the flow of data between software systems,Foundational Core,
Vagrant,Component,pen-source software product for building and maintaining portable virtual software development environments,Infrastructure,
Python,Component,Python,Foundational Core,
Azure,Component,Azure Cloud,Infrastructure,public cloud
Microsoft Hololens,Component,Augmented reality development device from Microsoft,UX,
Similarity based search,Capability,Synmon powered search enables users to discover closely related solution without the need for deep knowledge of each solution,Foundational Core,
Location Analytics,Capability,Find things within location - people, objects.,Foundational Core,
Customer Loyalty,Capability,Develop consistently positive emotional experiences, physical attribute-based satisfaction and perceived value of an experience,Foundational Core,
Outdoor Navigation,Capability,Outdoor Navigation,Foundational Core,
Digital Marketplace,Capability,Provide and support a digital marketplace where services or data can be shared with partners to discover and establish new innovative serv.,UX,
EMR Location independent,Capability,Location independent availability of Information for the medical objects (Patient, Diagnose, medical benefits, medical results etc.),Foundational Core,
Archiving Services,Capability,DXC Archiving Services offer clients secure, extended life-cycle management for their business data and the services of skilled experts to help analyze data and effectively move it into the archive.,Foundational Core,
Clearing System,Capability,the clearing system is part of the digital transformation process and frees the clerk from dealing with a lot of failure cases,Transactional Core,
Tariff model,Capability,the complex contribution groups was redesigned to a much more simplified model of contribution rates and makes reporting easier for employer,Transactional Core,
Information- and training program,Capability,to meet the information requirements for all internal and external partners a series of information events and trainings are scheduled,Transactional Core,
access control,Capability,access control,Security,
Graph database,Capability,Neo4j graph database,Foundational Core,
SMS,Capability,Use text messaging phone feature,Foundational Core,
Click-to-dial,Capability,One click dialling phone feature,Foundational Core,
Talk-to-text,Capability,Capture case notes using phones talk-to-text feature,Foundational Core,
Locations services,Capability,Use navigation and GPS location service features,Foundational Core,
Proper Integration with backends,Capability,we were to significantly improve integration with Vodafone's existing backend, bring more data to the sales community,Foundational Core,
Admin Service,Capability,Drives Admin Elements,Foundational Core,
Supervisor Service,Capability,Drives supervisor elements,Foundational Core,
Local App,Capability,Operator UI app,Foundational Core,
Operator Service,Capability,Drives operator elements,Foundational Core,
Control Unit,Capability,IoT device for messages to from asset,UX,
Supervisor Web App,Capability,UI for supervisor,Foundational Core,
Admin Web App,Capability,UI for HR, Super, Medical,Foundational Core,
Dashboard UI,Capability,Dashboard User Interface based on HTML5 & Angular.js,Foundational Core,
SAP HANA,Component,An in-memory, column-oriented, relational database management system developed and marketed by SAP SE.,Foundational Core,
SAP Network Gateway ,Component,BI layer Allows access to services / data to other interfaces (System Interfaces, Machine Interfaces),Foundational Core,
SAP Business Warehouse ,Component,SAP BW is a comprehensive business intelligence product,Foundational Core,
Java springboot,Component,REST API and oData Service layer,Foundational Core,
HPE MPC,Component,Built on top of HPE Managed Private Cloud,Infrastructure,
Visualization Engine?(tableau),Component,Visualization Engine?(tableau),Transactional Core,
Hadoop Cluster,Component,Hadoop Cluster,Foundational Core,
Vertica DB,Component,Vertica DB,Foundational Core,
Data Analysis Engine (R),Component,Data Analysis Engine (R),Foundational Core,
Data Import,Capability,Data Import,Foundational Core,
Data Acquisition,Capability,Data Acquisition,Foundational Core,
ApacheHive ,Component,ApacheHive ,Foundational Core,
Pricing Visualisation,Capability,Pricing Visualisation,Transactional Core,
Windows 10 Mobile Application,Component,Developed on UWP Platform,Foundational Core,
Crop Analysis Alerts Dashboard,Capability,Real time view of Farmer Crop  Analysis photos and Alerts,Foundational Core,
Daily Task List,Capability,A list of daily tasks for the Farmer to perform driven by the Farm Plan,Transactional Core,
Analysis of Stock Levels,Capability,Real time effect of redeemed Farm purchases on specific  Distribution centre stock levels,Foundational Core,
Power BI Analytics,Component,Real time effect of redeemed Farm purchases on specific  Distribution centre stock levels,Foundational Core,
Farm Finance Application ,Capability,Enables the Farmer to apply for Farm Finance,Transactional Core,
Farm Plan,Capability,Detailed Farm Plan compiled by Crop Nutrient experts to help educate the Farmer & maximise crop productivity,Transactional Core,
Farm Finance options,Capability,Shows the ability for the Farmer to use pre approved Finance to purchase products,Transactional Core,
Public cloud hosting,Capability,Azure Hosted,Infrastructure,
Public Data & the Farmer,Capability,Potential effect of Commodity, Weather, Loan Finance and the Farmer (Analytics and Trends),Foundational Core,
Sales Analytics,Capability,Breakdown of product sales by Farmer, Co-Op, region, product, month,Foundational Core,
Farm Plan Metrics,Capability,Percentage of Farmers enrolled, Farmer compliance with Farm Plan e.g. Forecasted sales vs.actual ,Foundational Core,
Farmer Alerts,Capability,A messaging channel to alert Farmer of weather warning, potential crop disease and receive messages from Co-Op, Yara etc.,Transactional Core,
Digital Receipt, Mobile Wallet,Capability,Displays QR code as proof of purchase & to enable stock redemption,UX,
Crop Analysis Photo task,Capability,Enables the Farmer to submit real time photos of crop features (e.g leaves) to validate early detection of potential crop disease,Transactional Core,
IoT Beacons & Sensors,Capability,IoT Beacons & Sensors,Foundational Core,
Indoor Wayfinding ,Capability,Indoor Wayfinding ,Infrastructure,
Mobile Ticketing,Capability,E-ticket or electronic ticket that arrives directly to your smartphone via email,Foundational Core,
Mobile First Wireless Network,Capability,Mobile First Wireless Network,Foundational Core,
Proximity Marketing ,Capability,Proximity Marketing ,Foundational Core,
Mobile Checkin,Capability,Mobile Checkin,Foundational Core,
Customer Analytics,Capability,DXC Customer Analytics help clients to integrate and establish a real-time view of the customer and provide predictive insights.,Foundational Core,
Voice platforms,Capability,Respond and return information through text to speech and speech to action,UX,
Azure Public Cloud,Component,Hosted on Microsoft public cloud service,Infrastructure,public cloud
